Tube Line,From Station,To Station,Weight,Rev_Weight
Overground,Hackney Central,Homerton
Overground,Wanstead Park,Woodgrange Park
Overground,Leytonstone High Road,Wanstead Park
Overground,Leyton Midland Road,Leytonstone High Road
Overground,Blackhorse Road,Walthamstow Queens Road
Overground,South Tottenham,Blackhorse Road
Overground,Harringay Green Lanes,South Tottenham
Overground,Crouch Hill,Harringay Green Lanes
Overground,Upper Holloway,Crouch Hill
Overground,Imperial Wharf,Clapham Junction
Overground,West Brompton,Imperial Wharf
Overground,Kensington (Olympia),West Brompton
Overground,Shepherds Bush,Kensington (Olympia)
Overground,Willesden Junction,Shepherds Bush
Overground,Kilburn High Road,South Hampstead
Overground,Hackney Wick,Stratford
Overground,Homerton,Hackney Wick
Overground,South Hampstead,Euston
Overground,Kenton,South Kenton
Overground,Harrow And Wealdstone,Kenton
Overground,Walthamstow Queens Road,Leyton Midland Road
Overground,Watford Junction,Watford High Street
Overground,Watford High Street,Bushey
Overground,Bushey,Carpenders Park
Overground,Carpenders Park,Hatch End
Overground,Hatch End,Headstone Lane
Overground,Headstone Lane,Harrow and Wealdstone
Piccadilly,Acton Town,South Ealing
Piccadilly,South Ealing,Northfields
Piccadilly,Northfields,Boston Manor
Piccadilly,Boston Manor,Osterley
Piccadilly,Osterley,Hounslow East
Piccadilly,Hounslow East,Hounslow Central
Piccadilly,Turnham Green,Acton Town
Piccadilly,Hammersmith (District),Turnham Green
Piccadilly,Barons Court,Hammersmith (District)
Piccadilly,Earls Court,Barons Court
Piccadilly,Gloucester Road,Earls Court
Piccadilly,South Kensington,Gloucester Road
Piccadilly,Knightsbridge,South Kensington
Piccadilly,Ickenham,Hillingdon
Piccadilly,Hounslow Central,Hounslow West
Piccadilly,Hounslow West,Hatton Cross
Piccadilly,Hatton Cross,Heathrow Terminals 1 2 3
Piccadilly,Hillingdon,Uxbridge
Piccadilly,Ruislip,Ickenham
Piccadilly,Ruislip Manor,Ruislip
Piccadilly,Eastcote,Ruislip Manor
Piccadilly,Rayners Lane,Eastcote
Piccadilly,Sudbury Hill,Rayners Lane
Piccadilly,Sudbury Town,Sudbury Hill
Piccadilly,Alperton,Sudbury Town
Piccadilly,North Ealing,Park Royal
Piccadilly,Ealing Common,North Ealing
Piccadilly,Acton Town,Ealing Common
Piccadilly,Heathrow Terminals 1 2 3,Heathrow Terminal 5
Piccadilly,Heathrow Terminals 1 2 3,Heathrow Terminal 4
Piccadilly,Hatton Cross,Heathrow Terminal 4
Piccadilly,Hyde Park Corner,Knightsbridge
Piccadilly,Green Park,Hyde Park Corner
Piccadilly,Piccadilly Circus,Green Park
Piccadilly,Turnpike Lane,Manor House
Piccadilly,Wood Green,Turnpike Lane
Piccadilly,Bounds Green,Wood Green
Piccadilly,Arnos Grove,Bounds Green
Piccadilly,Southgate,Arnos Grove
Piccadilly,Oakwood,Southgate
Piccadilly,Cockfosters,Oakwood
Piccadilly,Park Royal,Alperton
Piccadilly,Manor House,Finsbury Park
Piccadilly,Finsbury Park,Arsenal
Piccadilly,Leicester Square,Piccadilly Circus
Piccadilly,Covent Garden,Leicester Square
Piccadilly,Holborn,Covent Garden
Piccadilly,Russell Square,Holborn
Piccadilly,Kings Cross St. Pancras,Russell Square
Piccadilly,Caledonian Road,Kings Cross St. Pancras
Piccadilly,Holloway Road,Caledonian Road
Piccadilly,Arsenal,Holloway Road
Victoria,Kings Cross St. Pancras,Warren Street
Victoria,Highbury And Islington,Kings Cross St. Pancras
Victoria,Finsbury Park,Highbury And Islington
Victoria,Seven Sisters,Finsbury Park
Victoria,Tottenham Hale,Seven Sisters
Victoria,Warren Street,Oxford Circus
Victoria,Oxford Circus,Green Park
Victoria,Walthamstow Central,Blackhorse Road
Victoria,Green Park,Victoria
Victoria,Victoria,Pimlico
Victoria,Pimlico,Vauxhall
Victoria,Vauxhall,Stockwell
Victoria,Stockwell,Brixton
Victoria,Blackhorse Road,Tottenham Hale
Waterloo and City,Waterloo,Bank
